record_key,title,abstract,authors,publication_year,publication_date,venue,doi,url,type,cited_by_count,source_database,query_id,original_record_id,retrieved_at,is_preprint,arxiv_id,formal_doi,screening_status,screening_label,screening_confidence,screening_reason
arxiv:2609.10412,Towards Scalable and Cost-Efficient Vulnerability Detection: A Study on Automatic Query Generation,"Static analysis remains a cornerstone of software security, yet the effectiveness of tools such as CodeQL is often limited by the substantial manual effort required to develop high-coverage query suites. While large language models (LLMs) have emerged as a potential solution for automated code reasoning, their practical utility in generating structured, executable security queries remains underexplored. In this paper, we conduct an empirical study to evaluate the ability of LLMs to synthesize CodeQL queries using vulnerability data from the National Vulnerability Database. Through this investigation, we explore the potential of using LLMs as an automatic CodeQL query generator. Subsequently, we systematically evaluate the performance of various LLM architectures across a diverse set of real-world vulnerabilities, measuring their ability to improve detection coverage and precision. Our findings reveal that LLM-generated queries significantly enhance the baseline CodeQL queries, yielding 82% improvement in average F1-score. Furthermore, we provide a detailed cost- benefit analysis showing that while direct LLM-based scanning of entire repositories is often computationally and financially prohibitive, leveraging LLMs to synthesize CodeQL queries offers a scalable and cost-effective alternative for large-scale vulnerability detection. Our results suggest that LLMs can effectively bridge the gap between unstructured vulnerability reports and formal static analysis specifications, offering a scalable path toward comprehensive automated vulnerability detection.",Ivana Clairine Irsan; Ratnadira Widyasari; Huihui Huang; Ting Zhang; Yue Liu; Ouh Eng Lieh; Shar Lwin Khin; Kang Hong Jin; David Lo,2026,2026-09-09,arXiv (Cornell University),10.48550/arxiv.2609.10412,https://arxiv.org/abs/2609.10412,preprint,0,OpenAlex;arXiv,Q1.v1;Q1.v3;Q3.v1;Q3.v3;Q4.A1;Q4.v1,https://openalex.org/W7212151849,2026-09-17T09:05:39Z,1,2609.10412,,,,,
doi:10.32734/jocai.v10i2.24898,"SecureLite: Lightweight Vulnerability Detection on CVEFixes with TF‐IDF, Gradient Boosting, and a Tiny Transformer plus LLM‐Assisted Triage","Static application security testing remains difficult to deploy at scale in Python repositories because practical tools must be accurate, fast, and interpretable under extreme class imbalance. This paper introduces SecureLite, a lightweight pipeline that combines (i) a compact vulnerability detector trained on statement‐annotated data and (ii) an LLM‐assisted triage stage that converts detector evidence into actionable fix guidance. We conduct experiments on the DetectVul/CVEFixes dataset, using its provided train/test splits (4,584/1,146 Python functions). Each function is represented as a sequence of statements, statement types, and per‐statement vulnerability labels. We convert these labels into a function‐level target and compare four efficient detectors: token TF‐IDF + logistic regression (SGD), type‐aware token TF‐IDF, character TF‐IDF, and a LightGBM model over 15 static features. We additionally train a tiny Transformer encoder (TinyVulFormer‐XS) to test whether a minimal self‐attention model can compete with linear baselines under small‐data constraints. On the test set, the best lightweight models (character TF‐IDF and type‐aware token TF‐IDF) achieve AUROC 0.925 and AUPRC 0.381 with an F1 score of 0.421 at a 0.5 decision threshold, outperforming both static‐feature boosting and the tiny Transformer. We further analyze threshold sensitivity, error modes, and how LLM triage can reduce analyst time by proposing fixes and unit tests for high‐risk predictions. The resulting system offers a reproducible, CPU‐friendly baseline for Python vulnerability screening and a practical blueprint for integrating lightweight detection with LLM‐guided remediation.",Qi Xin,2026,2026-09-07,Data Science Journal of Computing and Applied Informatics,10.32734/jocai.v10i2.24898,https://doi.org/10.32734/jocai.v10i2.24898,article,0,OpenAlex,Q1.v1;Q3.v1,https://openalex.org/W7210281426,2026-09-17T09:05:39Z,0,,10.32734/jocai.v10i2.24898,,,,
arxiv:2609.04535,An Empirical Analysis of CodeQL False Positives and Query Refinements for Java Vulnerabilities,"Static application security testing (SAST) tools help developers find vulnerabilities before deployment, but false positives create substantial triage effort. We study whether CodeQL false positives in Java security analysis form recurring, explainable patterns that can be reduced by refining the analysis. We run CodeQL's Java security query suite on 167 CVE instances from 110 projects, focusing on the ten queries with the highest false positive rates. We manually review 500 sampled false positive paths and locations and construct a source-level taxonomy. The five categories are Missed Path Constraint or Sanitization (36.6%), Benign Execution Context (29.4%), Missing Trust Boundary Modeling (27.6%), Imprecise Concurrency Modeling (5%), and Imprecise Sink Modeling (1.4%). Guided by these findings, we implement CodeQL refinements that detect and filter recurring false positive patterns at the query level. The refinements remove 81.8% of reviewed false positives. Across the full selected-query dataset, they remove 15.8% of reported paths and locations while retaining 7 of 8 true positives. This shows that many false positives can be reduced in the analysis, although fixed refinements often depend on project-specific context. To address this generalization gap, we evaluate whether agentic coding tools can adapt refinement patterns to new projects. Given our patterns as templates, the two tools succeed on 56% and 62% of tasks, with query compile-pass rates above 90%. Without this guidance, both succeed on only 28%, while compile rates fall to 30-36%. These results support a refinement-oriented SAST workflow in which recurring false positives are modeled in CodeQL queries and automatically adapted to different project contexts, reducing repeated triage.",Amirali Sajadi; Saikat Dutta; Preetha Chatterjee,2026,2026-09-03,arXiv (Cornell University),10.48550/arxiv.2609.04535,https://arxiv.org/abs/2609.04535,preprint,0,OpenAlex;arXiv,Q1.v1;Q1.v2;Q1.v3;Q2.v3;Q4.A1;Q4.v1;Q7.A1,https://openalex.org/W7211886289,2026-09-17T09:05:39Z,1,2609.04535,,,,,
arxiv:2609.09641,UnsafeChecker: Finding Soundness Bugs in Rust Safe Abstractions,"Rust guarantees memory safety without garbage collection through a strict ownership and borrowing system. However, for low-level systems programming, many widely used libraries rely on the unsafe keyword. These libraries encapsulate raw-pointer operations behind safe APIs to form safe abstractions. A single mistake in this internal unsafe code can break its safety contract, rendering the abstraction unsound and allowing safe clients to trigger undefined behavior. Detecting these potential soundness violations is challenging. Existing static analysis tools for C/C++ ignore Rust-specific safety contracts, while current Rust tools lack the deep semantic modeling required to track the contexts that raw pointers erase. To address this gap, we present UnsafeChecker, a compiler-integrated static analysis framework for detecting potential soundness violations in Rust safe abstractions. UnsafeChecker analyzes Rust MIR using a flow-sensitive abstract interpretation that maintains a shared state with three components: ownership, object validity, and layout. Each warning rule consumes the subset of facts needed for the corresponding Rust safety obligation. UnsafeChecker reports both instruction-level undefined behavior and boundary-level contract violations that may escape through safe APIs. We evaluate UnsafeChecker on a benchmark of 46 RustSec vulnerabilities, which contain 53 ground-truth bugs. UnsafeChecker outperforms several state-of-the-art tools, detecting 32 CVEs and covering 36 bugs (67.9% recall) with 51.6% alert-level precision. Furthermore, in a large-scale scan of real-world crates on crates.io, UnsafeChecker uncovered 114 previously unknown bugs across 83 crates, with 45 confirmed and 27 already fixed by maintainers.",Xizhe Yin; Yaokun Zhang; Yang Feng; Baowen Xu,2026,2026-09-09,arXiv (Cornell University),10.48550/arxiv.2609.09641,https://arxiv.org/abs/2609.09641,preprint,0,OpenAlex,Q1.v2;Q3.v3,https://openalex.org/W7212153472,2026-09-17T09:07:15Z,1,2609.09641,,,,,
doi:10.3897/jucs.207391,SKAEG: Automatic Exploit Generation Based on Shared Keywords in Embedded Systems,"Existing Automatic Exploit Generation (AEG) solutions primarily target Linux and Windows binary files. Currently, only one AEG framework for IoT devices—IoTAEG—has been proposed, which emphasizes bypassing diverse protection mechanisms and relies on real devices for exploit generation. To enhance the efficiency of exploit generation for IoT firmware vulnerabilities, we present Automatic Exploit Generation Based on Shared Keywords (SKAEG) in embedded systems, a novel shared-keyword-based approach. SKAEG automatically detects and analyses vulnerabilities within IoT device firmware and generates exploits subsequently. It first extracts shared keywords from firmware to guide taint analysis for vulnerability detection. To improve efficiency, pruning strategies are applied during taint analysis to eliminate infeasible paths. Subsequently, we introduce two new modules: Exploitability Analysis, which evaluates whether identified vulnerabilities can be exploited, and Frontend File Parsing, which constructs request packets based on shared keywords. This design enables SKAEG to integrate vulnerability analysis with concrete exploit generation, thereby facilitating the automated construction of complete exploits. Experimental results demonstrate that SKAEG successfully detects and exploits vulnerabilities across 10 IoT devices from 4 manufacturers, covering 8 CVE-listed vulnerabilities. Additionally, the exploitability analysis accurately identifies 51 non-exploitable vulnerabilities. Through optimized symbolic execution, SKAEG addresses solver crash issues and achieves superior exploit generation efficiency compared to IoTAEG.",Shaoguang Wu; Jiyou Chang; Jiannan Guo; Fang Chen; Hongchang Wei; Zhijuan Wang; Guanghua Zhang; Yijie Chu,2026,2026-09-14,JUCS - Journal of Universal Computer Science,10.3897/jucs.207391,https://doi.org/10.3897/jucs.207391,article,0,OpenAlex,Q1.v3,https://openalex.org/W7212587240,2026-09-17T09:07:18Z,0,,10.3897/jucs.207391,,,,
doi:10.5281/zenodo.22698136,"Artifact for ""PatchAudit: Uncovering Faulty Security Patches and Lingering Zero-Days at Scale""","PatchAudit — Research Artifact This is the replication artifact for the paper ""PatchAudit: Uncovering Faulty Security Patches and Lingering Zero-Days at Scale."" PatchAudit audits a CVE's security patch to determine whether it is a faulty (bad) patch. Given a CVE's initial patch commit C1 and the repository, it discovers whether any later commit C2 is a future commit — one that continues the fix because C1 was incomplete (left the same vulnerability reachable) or incorrect (introduced a defect that a later commit repairs). If such a future commit exists, C1 is a bad patch; if the latest future commit still does not close the hole, it is a lingering (zero-day) bad patch. Approach (three phases).1. Explicit intent — extract explicit references (the CVE id or C1's commit hash) from a later commit's message and validate genuine continuation; only high-confidence explicit matches skip Phase 2.2. Semantic intent — build a Code Property Graph (Joern), intersect the interprocedural forward slices of C1 and the candidate into an Intent Scope, and let a fine-tuned code LLM (Qwen3-14B) — or an optional autonomous agent that retrieves additional function/variable/issue/web context — decide whether the candidate shares C1's patching intent.3. Multi-pronged verification — an independent GPT-5 judge audits the reasoning, while CodeQL + Semgrep provide corroborating vulnerability-state evidence (used only when reliable; otherwise treated as a possible false negative). Arbitration accepts on mutual support, otherwise runs a bounded refinement loop and falls back to the agent's prediction. The output is a futurlabel with, for a bad patch, an incomplete/incorrect classification and ause. Contents (single patchaudit_bundle_adapters.tar.zst, ≈3.4 GB):- patchaudit-analysis-image.tar — prebuilt Cned Joern 4.0.614, CodeQL 2.26.4, Semgrep1.175.0, JDK 21) with the full Phase 1–3 pipeline.- tools/ — the pipeline (Python), plus tools/agent/ for the optional agentic Phase 2 (with requirements.txt).- models/ — fine-tuned LoRA adapters over Qwlora).- data/ — BadPatch-Bench (benchmark_565.jsonl: 565 labeled (C1, C2) pairs over 110 CVEs), the labeled positive/negative CVE sets, re-exploitation cases, and zero-day PoCs (for defensive research only).- examples/ — two worked cases: Django CVE-2nd NOAA-PMEL/LAS CVE-2025-62193 (a new 2026 CVE).- reproduce/ — scripts and data to regenerate the paper's large-scale-study tables and figures. Running it. docker load -i patchaudit-analysker run --rm --network host -e OPENAI_API_KEY -v $PWD/examples:/cases -v /path/to/repo:/repos/ :ro patchaudit-analysis:latest /cases/case_CVE-2021-31542 all --stop-at-first-yes. Phase 2 uses a GPU serving Qwen3-14B + our LoRA adapter (see tools/vllm_server.sh); Phase 3 verification uses the GPT-5 API (OPENAI_API_setup, the table/figure reproduction steps,and troubleshooting. Mirror: also available on Hugging Face (zhch.",Zhengsong Zhang; Haipeng Cai,2026,2026-09-10,Zenodo (CERN European Organization for Nuclear Research),10.5281/zenodo.22698136,https://doi.org/10.5281/zenodo.22698136,dataset,0,OpenAlex,Q2.v1,https://openalex.org/W7212229793,2026-09-17T09:07:21Z,0,,10.5281/zenodo.22698136,,,,
doi:10.5281/zenodo.22698135,"Artifact for ""PatchAudit: Uncovering Faulty Security Patches and Lingering Zero-Days at Scale""","PatchAudit — Research Artifact This is the replication artifact for the paper ""PatchAudit: Uncovering Faulty Security Patches and Lingering Zero-Days at Scale."" PatchAudit audits a CVE's security patch to determine whether it is a faulty (bad) patch. Given a CVE's initial patch commit C1 and the repository, it discovers whether any later commit C2 is a future commit — one that continues the fix because C1 was incomplete (left the same vulnerability reachable) or incorrect (introduced a defect that a later commit repairs). If such a future commit exists, C1 is a bad patch; if the latest future commit still does not close the hole, it is a lingering (zero-day) bad patch. Approach (three phases).1. Explicit intent — extract explicit references (the CVE id or C1's commit hash) from a later commit's message and validate genuine continuation; only high-confidence explicit matches skip Phase 2.2. Semantic intent — build a Code Property Graph (Joern), intersect the interprocedural forward slices of C1 and the candidate into an Intent Scope, and let a fine-tuned code LLM (Qwen3-14B) — or an optional autonomous agent that retrieves additional function/variable/issue/web context — decide whether the candidate shares C1's patching intent.3. Multi-pronged verification — an independent GPT-5 judge audits the reasoning, while CodeQL + Semgrep provide corroborating vulnerability-state evidence (used only when reliable; otherwise treated as a possible false negative). Arbitration accepts on mutual support, otherwise runs a bounded refinement loop and falls back to the agent's prediction. The output is a futurlabel with, for a bad patch, an incomplete/incorrect classification and ause. Contents (single patchaudit_bundle_adapters.tar.zst, ≈3.4 GB):- patchaudit-analysis-image.tar — prebuilt Cned Joern 4.0.614, CodeQL 2.26.4, Semgrep1.175.0, JDK 21) with the full Phase 1–3 pipeline.- tools/ — the pipeline (Python), plus tools/agent/ for the optional agentic Phase 2 (with requirements.txt).- models/ — fine-tuned LoRA adapters over Qwlora).- data/ — BadPatch-Bench (benchmark_565.jsonl: 565 labeled (C1, C2) pairs over 110 CVEs), the labeled positive/negative CVE sets, re-exploitation cases, and zero-day PoCs (for defensive research only).- examples/ — two worked cases: Django CVE-2nd NOAA-PMEL/LAS CVE-2025-62193 (a new 2026 CVE).- reproduce/ — scripts and data to regenerate the paper's large-scale-study tables and figures. Running it. docker load -i patchaudit-analysker run --rm --network host -e OPENAI_API_KEY -v $PWD/examples:/cases -v /path/to/repo:/repos/ :ro patchaudit-analysis:latest /cases/case_CVE-2021-31542 all --stop-at-first-yes. Phase 2 uses a GPU serving Qwen3-14B + our LoRA adapter (see tools/vllm_server.sh); Phase 3 verification uses the GPT-5 API (OPENAI_API_setup, the table/figure reproduction steps,and troubleshooting. Mirror: also available on Hugging Face (zhch.",Zhengsong Zhang; Haipeng Cai,2026,2026-09-10,Zenodo (CERN European Organization for Nuclear Research),10.5281/zenodo.22698135,https://doi.org/10.5281/zenodo.22698135,dataset,0,OpenAlex,Q2.v1,https://openalex.org/W7212235258,2026-09-17T09:07:21Z,0,,10.5281/zenodo.22698135,,,,
arxiv:2609.06035,SemVul: Semantic-Enhanced Graph Neural Networks for Code Property Graph-based Vulnerability Detection,"Vulnerabilities in source code are often the root cause of cyberattacks worldwide, as attackers exploit weaknesses in software to gain unauthorized access, steal data, or disrupt services. In this study, we evaluated existing research approaches and propose SemVul, a vulnerability detection pipeline that demonstrates better generalization and higher accuracy in learning vulnerable code patterns. We propose a Code Property Graph-based vulnerability-detection approach combined with semantic-level enhancement, enabling the model to capture both the program's structural flow and the semantic meaning of the code. Our approach integrates both node-level and edge-level semantic embeddings using pre-trained code embedding techniques. We systematically evaluate multiple GNN architectures on publicly available benchmark datasets. SemVul is generic with respect to the programming language and supports multiple architectures. By integrating structural and semantic information, the proposed approach improves vulnerability detection performance. Our results show that SemVul outperforms existing approaches and provides better generalization.",Younas Affan; Leonardo Regano; Giorgio Giacinto,2026,2026-09-05,arXiv (Cornell University),10.48550/arxiv.2609.06035,https://arxiv.org/abs/2609.06035,preprint,0,OpenAlex;arXiv,Q2.A1;Q2.v1;Q5.v2,https://openalex.org/W7212027573,2026-09-17T09:07:21Z,1,2609.06035,,,,,
doi:10.22214/ijraset.2026.84845,"The Ethics and Accuracy of Generative AI in Higher Education: Evaluating Student Reliance on AI Writing Tools, Epistemic Vulnerability, and Pedagogical Transformation","The rapid integration of Large Language Models (LLMs) and generative writing assistants into higher education represents a structural inflection point in academic composition, cognitive engagement, and institutional evaluation. While contemporary discourse frequently bifurcates between uncritical techno-optimism and blanket prohibition, this paper undertakes a systematic, empirical, and epistemic evaluation of student reliance on generative artificial intelligence (GenAI) writing tools. We investigate the dual challenges of algorithmic accuracy—specifically stochastic hallucination, context truncation, and the fabrication of scholarly provenance—and ethical dilemmas concerning cognitive offloading, epistemic vigilance, authorial authenticity, and surveillance-oriented integrity policing. Our analysis reveals that uncritical student reliance leads to cognitive schema bypassing, wherein the essential struggle of rhetorical synthesis is substituted with passive editorial curation. Furthermore, we demonstrate that statistical AI detection instruments suffer from severe false-positive asymmetries that systematically penalize non-native English writers while remaining trivial to evade through basic prompt manipulation. Finally, we articulate an actionable, process-oriented pedagogical framework comprising authentic assessment architecture, student-led algorithmic auditing, and a three-tiered institutional governance model designed to cultivate genuine epistemic agency in an automated landscape.",Mr. Rajiv Gurve; Dr. Mohammed Bakhtawar Ahmed,2026,2026-09-14,International Journal for Research in Applied Science and Engineering Technology,10.22214/ijraset.2026.84845,https://doi.org/10.22214/ijraset.2026.84845,article,0,OpenAlex,Q2.v2,https://openalex.org/W7213105848,2026-09-17T09:07:26Z,0,,10.22214/ijraset.2026.84845,,,,
doi:10.5281/zenodo.22668216,LLMVul: A Vulnerability-Labeled Dataset of LLM-Generated C/C++ Functions from Real Production Repositories,"Large language models (LLMs) are increasingly used to generate and assist with software development, yet existing vulnerability datasets largely focus on human-written code or controlled prompting environments. This limits the ability to study security weaknesses in LLM-generated code as it appears in real-world software projects. We present LLMVul, a vulnerability-labeled dataset of LLM-generated C/C++ functions mined from real production repositories. We mine AI-assisted development activity from GitHub over a 4 year period, from November 13, 2022 to September 3, 2026, using provenance signals such as commit metadata and AI-related authorship evidence. After filtering and deduplication, LLMVul contains 21,430 unique C/C++ functions from 226 repositories, together with repository, commit, function, provenance, and AI-tool metadata. We establish vulnerability labels using an ensemble of complementary static-analysis and pattern-based techniques and assign Common Weakness Enumeration (CWE) categories to confirmed vulnerable functions. To assess labeling reliability, we additionally conduct independent manual annotation and measure inter-rater agreement using Cohen's kappa ($k=0.79$). LLMVul contains 1,540 ensemble-vulnerable functions spanning 17 unique CWE categories, providing substantially more real-world LLM-generated vulnerable C/C++ functions than existing vulnerability-oriented LLM code benchmarks. By preserving both code-level vulnerability labels and generation/provenance metadata, LLMVul enables reproducible research on vulnerability detection, security evaluation of LLM-generated code, and analysis of vulnerability patterns in AI-assisted software development. The LLMVul dataset is publicly available at https://doi.org/10.5281/zenodo.22668216.",Mohammad Farhad; Shuvalaxmi Dass,2026,2026-09-09,Zenodo (CERN European Organization for Nuclear Research),10.5281/zenodo.22668216,https://arxiv.org/abs/arXiv:2609.10945,other,0,OpenAlex;Semantic Scholar;arXiv,Q2.v2;Q3.A1;Q3.v1;Q3.v3;Q5.v1;Q5.v3;Q7.v2;Q7.v3,https://openalex.org/W7212044991,2026-09-17T09:08:12Z,0,2609.10945,10.5281/zenodo.22668216,,,,
